"","IUCN_species_name","genus","species","common_name","order_e","family_e","diet_inv_e","diet_fruit_e","diet_cat_e","diet_breadth","min_body_size_mm","max_body_size_mm","body_size_mm","min_longevity","max_longevity","longevity","min_home_range","max_home_range","home_range_size","generation_time","IUCN_category"
"107","Mecocerculus stictopterus","Mecocerculus","stictopterus","White-banded Tyrannulet","Passeriformes","Tyrannidae",90,10,"Invertebrate",0.325082973,NA,NA,130,NA,NA,NA,NA,NA,0.042,3.6,"LC"
"108","Melanerpes aurifrons","Melanerpes","aurifrons","Golden-fronted Woodpecker","Piciformes","Picidae",40,30,"Omnivore",1.279854226,220,260,260,5.7,NA,5.7,0.144,0.417,0.249,5.8,"LC"
"109","Melanerpes flavifrons","Melanerpes","flavifrons","Yellow-fronted Woodpecker","Piciformes","Picidae",30,40,"Omnivore",1.088899975,NA,NA,170,NA,NA,NA,NA,NA,0.0034,5.1,"LC"
"110","Melanerpes formicivorus","Melanerpes","formicivorus","Acorn Woodpecker","Piciformes","Picidae",20,10,"PlantSeed",1.088899975,210,230,230,NA,NA,24,NA,NA,0.06,5.6,"LC"
"111","Melanerpes hypopolius","Melanerpes","hypopolius","Grey-breasted Woodpecker","Piciformes","Picidae",40,60,"FruiNect",0.673011667,190,210,210,NA,NA,NA,1.6,3.8,2.7,3,"LC"
"112","Melozone albicollis","Melozone","albicollis","White-throated Towhee","Passeriformes","Emberizidae",50,10,"Omnivore",0.943348392,185,225,225,NA,NA,NA,NA,NA,0.0731,2.8,"LC"
"113","Mitu salvini","Mitu","salvini","Salvin's Curassow","Galliformes","Cracidae",0,40,"PlantSeed",1.054920168,750,890,890,NA,NA,24,72,150,150,10.5,"LC"
"114","Mitu tomentosum","Mitu","tomentosum","Crestless Curassow","Galliformes","Cracidae",0,70,"FruiNect",0.801818553,750,850,850,NA,NA,24,72,150,150,9.5,"NT"
"115","Mitu tuberosum","Mitu","tuberosum","Razor-billed Curassow","Galliformes","Cracidae",10,70,"FruiNect",0.940447989,830,890,890,NA,NA,24,72,150,150,8.32,"LC"
"116","Molothrus oryzivorus","Molothrus","oryzivorus","Giant Cowbird","Passeriformes","Icteridae",30,40,"FruiNect",1.088899975,280,380,380,7,8,8,22,70,70,3.5,"LC"
"117","Momotus momota","Momotus","momota","Amazonian motmot","Coraciiformes","Momotidae",50,30,"Omnivore",1.16828245,380,430,430,NA,NA,NA,NA,NA,0.0059,3.6,"LC"
"118","Myiarchus apicalis","Myiarchus","apicalis","Apical Flycatcher","Passeriformes","Tyrannidae",50,50,"Omnivore",0.693147181,NA,NA,170,NA,NA,6,1.6,3.2,3.2,5.1,"LC"
"119","Myiarchus crinitus","Myiarchus","crinitus","Great Crested Flycatcher","Passeriformes","Tyrannidae",60,40,"Invertebrate",0.673011667,170,210,210,2,14,14,1.6,3.2,3.2,3.41,"LC"
"120","Myiarchus swainsoni","Myiarchus","swainsoni","Swainson's Flycatcher","Passeriformes","Tyrannidae",70,20,"Invertebrate",0.801818553,195,210,210,NA,NA,NA,NA,NA,0.002,5.1,"LC"
"121","Myiarchus tyrannulus","Myiarchus","tyrannulus","Brown-crested Flycatcher","Passeriformes","Tyrannidae",70,20,"Invertebrate",0.801818553,180,230,230,NA,NA,11,0.005,0.085,0.085,6.5,"LC"
"122","Myiodynastes maculatus","Myiodynastes","maculatus","Streaked Flycatcher","Passeriformes","Tyrannidae",40,30,"Omnivore",1.088899975,195,210,210,NA,NA,NA,NA,NA,0.003,3.6,"LC"
"123","Myiodynastes solitarius","Myiodynastes","solitarius","Southern Streaked FlycatcherÂ ","Passeriformes","Tyrannidae",40,30,"Omnivore",1.088899975,195,210,210,NA,NA,NA,NA,NA,0.003,3.6,"LC"
"124","Myiopagis gaimardii","Myiopagis","gaimardii","Forest Elaenia","Passeriformes","Tyrannidae",80,20,"Invertebrate",0.500402424,120,125,125,NA,NA,NA,NA,NA,0.092,3.6,"LC"
"125","Myiopagis viridicata","Myiopagis","viridicata","Greenish Elaenia","Passeriformes","Tyrannidae",60,20,"Invertebrate",0.950270539,NA,NA,135,NA,NA,NA,NA,NA,0.009,3.6,"LC"
"126","Myiophobus fasciatus","Myiophobus","fasciatus","Bran-coloured Flycatcher","Passeriformes","Tyrannidae",80,20,"Invertebrate",0.500402424,110,127,127,3.833,5.083,5.083,NA,NA,0.0066,3.6,"LC"
"127","Myiopsitta monachus","Myiopsitta","monachus","Monk Parakeet","Psittaciformes","Psittacidae",10,30,"PlantSeed",1.313834033,NA,NA,290,12,22.1,22.1,NA,NA,120,6,"LC"
"128","Myiozetetes cayanensis","Myiozetetes","cayanensis","Rusty-margined Flycatcher","Passeriformes","Tyrannidae",70,30,"Invertebrate",0.610864302,165,180,180,NA,NA,NA,NA,NA,0.002,3.6,"LC"
"129","Myiozetetes similis","Myiozetetes","similis","Social Flycatcher","Passeriformes","Tyrannidae",40,40,"Omnivore",1.193549604,160,185,185,NA,NA,NA,NA,NA,0.0021,3.6,"LC"
"130","Nesotriccus ridgwayi","Nesotriccus","ridgwayi","Cocos Flycatcher","Passeriformes","Tyrannidae",90,10,"Invertebrate",0.325082973,NA,NA,110,NA,NA,6,NA,NA,0.25,2.79,"VU"
"131","Odontophorus capueira","Odontophorus","capueira","Spot-winged Wood-quail","Galliformes","Odontophoridae",0,80,"FruiNect",0.500402424,260,300,300,NA,12,12,NA,NA,0.12,3.9,"LC"
"132","Odontophorus speciosus","Odontophorus","speciosus","Rufous-breasted Wood-quail","Galliformes","Odontophoridae",20,30,"Omnivore",1.366158848,240,280,280,NA,NA,NA,2.6,9,5.22,3.9,"NT"
"133","Odontophorus stellatus","Odontophorus","stellatus","Starred Wood-quail","Galliformes","Odontophoridae",20,30,"Omnivore",1.366158848,240,280,280,NA,NA,NA,2.6,9,5.22,3.9,"LC"
"134","Oporornis agilis","Oporornis","agilis","Connecticut Warbler","Passeriformes","Parulidae",80,20,"Invertebrate",0.500402424,130,150,150,4.08,7.92,7.92,0.24,0.48,0.48,2.15,"LC"
"135","Oreophasis derbianus","Oreophasis","derbianus","Horned Guan","Galliformes","Cracidae",0,50,"Omnivore",0.693147181,750,850,850,NA,NA,NA,0.08,0.2,0.2,9.55,"EN"
"136","Pachyramphus castaneus","Pachyramphus","castaneus","Chestnut-crowned Becard","Passeriformes","Cotingidae",90,10,"Invertebrate",0.325082973,140,148,148,NA,NA,NA,NA,NA,0.0016,4.6,"LC"
"137","Pachyramphus marginatus","Pachyramphus","marginatus","Black-capped Becard","Passeriformes","Cotingidae",50,50,"Omnivore",0.693147181,130,140,140,NA,NA,NA,NA,NA,8,4.6,"LC"
"138","Pachyramphus minor","Pachyramphus","minor","Pink-throated Becard","Passeriformes","Cotingidae",50,50,"Omnivore",0.693147181,165,175,175,NA,NA,NA,NA,NA,8,4.6,"LC"
"139","Pachyramphus polychopterus","Pachyramphus","polychopterus","White-winged Becard","Passeriformes","Cotingidae",50,50,"Omnivore",0.693147181,140,155,155,NA,NA,NA,NA,NA,0.0017,4.6,"LC"
"140","Passerina caerulea","Passerina","caerulea","Blue Grosbeak","Passeriformes","Emberizidae",40,20,"Omnivore",1.279854226,150,160,160,5.9,10.2,10.2,3.12,7.28,5.2,4.2,"LC"
"141","Patagioenas cayennensis","Patagioenas","cayennensis","Pale-vented Pigeon","Columbiformes","Columbidae",0,70,"FruiNect",0.610864302,250,280,280,NA,NA,14.4,NA,NA,12.7,4.42,"LC"
"142","Patagioenas flavirostris","Patagioenas","flavirostris","Red-billed Pigeon","Columbiformes","Columbidae",0,60,"FruiNect",0.673011667,300,370,370,NA,NA,14.4,NA,NA,12.7,4.9,"LC"
"143","Patagioenas leucocephala","Patagioenas","leucocephala","White-crowned Pigeon","Columbiformes","Columbidae",0,70,"FruiNect",0.610864302,330,350,350,NA,14.4,14.4,NA,NA,12.7,3.87,"NT"
"144","Patagioenas picazuro","Patagioenas","picazuro","Picazuro Pigeon","Columbiformes","Columbidae",10,30,"PlantSeed",1.313834033,NA,NA,340,NA,NA,14.4,NA,NA,12.7,6.6,"LC"
"145","Penelope ortoni","Penelope","ortoni","Baudo Guan","Galliformes","Cracidae",0,80,"FruiNect",0.500402424,580,630,630,NA,NA,NA,8,17,17,5.7,"EN"
"146","Penelope superciliaris","Penelope","superciliaris","Rusty-margined Guan","Galliformes","Cracidae",10,90,"FruiNect",0.325082973,550,730,730,NA,NA,NA,8,17,17,6.31,"LC"
"147","Percnostola rufifrons","Percnostola","rufifrons","Black-headed Antbird","Passeriformes","Thamnophilidae",80,10,"Invertebrate",0.63903186,130,155,155,14.2,16.2,16.2,0.81,2.73,2.73,4.8,"LC"
"148","Pharomachrus mocinno","Pharomachrus","mocinno","Resplendent Quetzal","Trogoniformes","Trogonidae",20,70,"FruiNect",0.801818553,NA,NA,410,NA,NA,NA,0.06,0.1,0.1,7.3,"NT"
"149","Pheucticus melanocephalus","Pheucticus","melanocephalus","Black-headed Grosbeak","Passeriformes","Cardinalidae",70,20,"Invertebrate",0.801818553,180,190,190,NA,NA,25,0.0043,0.039,0.039,5,"LC"
"150","Phyllomyias fasciatus","Phyllomyias","fasciatus","Planalto Tyrannulet","Passeriformes","Tyrannidae",80,20,"Invertebrate",0.500402424,110,115,115,NA,NA,4.33,NA,NA,0.001,3.6,"LC"
"151","Phyllomyias uropygialis","Phyllomyias","uropygialis","Tawny-rumped Tyrannulet","Passeriformes","Tyrannidae",90,10,"Invertebrate",0.325082973,NA,NA,110,NA,NA,NA,NA,NA,0.078,3.6,"LC"
"152","Pionus fuscus","Pionus","fuscus","Dusky Parrot","Psittaciformes","Psittacidae",0,100,"FruiNect",0,250,260,260,NA,NA,9.1,1,NA,1,6.7,"LC"
"153","Pionus maximiliani","Pionus","maximiliani","Scaly-headed Parrot","Psittaciformes","Psittacidae",0,10,"PlantSeed",0.801818553,250,290,290,NA,NA,16,NA,NA,0.01,6.7,"LC"
"154","Pionus menstruus","Pionus","menstruus","Blue-headed Parrot","Psittaciformes","Psittacidae",0,30,"PlantSeed",1.088899975,240,280,280,NA,NA,20.6,NA,NA,1,6.7,"LC"
"155","Pipilo chlorurus","Pipilo","chlorurus","Green-tailed Towhee","Passeriformes","Emberizidae",40,20,"Omnivore",1.054920168,NA,NA,180,NA,NA,7.7,NA,NA,0.009,4.2,"LC"
"156","Pipilo erythrophthalmus","Pipilo","erythrophthalmus","Eastern Towhee","Passeriformes","Emberizidae",30,30,"Omnivore",1.088899975,173,208,208,NA,NA,12.3,0.0026,0.028,0.028,4.1,"LC"
"157","Pipra fasciicauda","Pipra","fasciicauda","Band-tailed Manakin","Passeriformes","Pipridae",10,90,"FruiNect",0.325082973,NA,NA,110,NA,NA,NA,NA,NA,0.0345,5.4,"LC"
"158","Pipra filicauda","Pipra","filicauda","Wire-tailed Manakin","Passeriformes","Pipridae",10,90,"FruiNect",0.325082973,NA,NA,115,NA,NA,NA,0.04,0.05,0.05,5.1,"LC"
"159","Piranga flava","Piranga","flava","Hepatic Tanager","Passeriformes","Cardinalidae",80,20,"Invertebrate",0.500402424,173,190,190,NA,NA,NA,NA,NA,0.0024,4.1,"LC"
"160","Piranga ludoviciana","Piranga","ludoviciana","Western Tanager","Passeriformes","Cardinalidae",80,20,"Invertebrate",0.500402424,165,195,195,NA,NA,15.3,0.0081,0.0283,0.0283,4.1,"LC"
"161","Piranga olivacea","Piranga","olivacea","Scarlet Tanager","Passeriformes","Cardinalidae",80,10,"Invertebrate",0.63903186,130,180,180,NA,11.9,11.9,0.009,0.125,0.125,4.4,"LC"
"162","Piranga roseogularis","Piranga","roseogularis","Rose-throated Tanager","Passeriformes","Cardinalidae",70,30,"Invertebrate",0.610864302,NA,NA,160,NA,NA,NA,0.026,0.056,0.056,2.4,"LC"
"163","Piranga rubra","Piranga","rubra","Summer Tanager","Passeriformes","Cardinalidae",90,10,"Invertebrate",0.325082973,NA,NA,170,NA,NA,7.9,0.026,0.056,0.056,3.8,"LC"
"164","Pitangus sulphuratus","Pitangus","sulphuratus","Great Kiskadee","Passeriformes","Tyrannidae",40,30,"Omnivore",1.418483662,205,235,235,NA,NA,8.75,NA,NA,0.0036,3.6,"LC"
"165","Procnias tricarunculatus","Procnias","tricarunculatus","Three-wattled Bellbird","Passeriformes","Cotingidae",0,100,"FruiNect",0,300,330,330,NA,NA,NA,NA,NA,0.0225,4.6,"VU"
"166","Protonotaria citrea","Protonotaria","citrea","Prothonotary Warbler","Passeriformes","Parulidae",70,10,"Invertebrate",0.940447989,NA,NA,140,NA,NA,8.1,0.005,0.054,0.054,2.36,"LC"
"167","Psaltriparus minimus","Psaltriparus","minimus","Bushtit","Passeriformes","Aegithalidae",70,10,"Invertebrate",0.940447989,70,80,80,NA,NA,8.42,0.32,1,1,3.6,"LC"
"168","Psarocolius cassini","Psarocolius","cassini","Baudo Oropendola","Passeriformes","Icteridae",50,50,"Omnivore",0.693147181,395,460,460,NA,NA,NA,1,2.5,2.5,4.6,"VU"
"169","Psittacara acuticaudatus","Psittacara","acuticaudatus","Blue-crowned Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,330,380,380,NA,NA,NA,NA,NA,2e-04,7,"LC"
"170","Psophia crepitans","Psophia","crepitans","Grey-winged Trumpeter","Gruiformes","Psophiidae",10,90,"FruiNect",0.325082973,450,520,520,NA,NA,NA,0.58,0.88,0.88,7.68,"NT"
"171","Pteroglossus inscriptus","Pteroglossus","inscriptus","Lettered Aracari","Piciformes","Ramphastidae",0,80,"FruiNect",0.500402424,330,370,370,NA,NA,NA,1,2.5,2.5,7,"LC"
"172","Pyroderus scutatus","Pyroderus","scutatus","Red-ruffed Fruitcrow","Passeriformes","Cotingidae",40,60,"FruiNect",0.673011667,360,460,460,NA,NA,NA,NA,NA,0.013,4.6,"LC"
"173","Pyrrhura caeruleiceps","Pyrrhura","caeruleiceps","Perija Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",1.029653014,NA,NA,220,NA,NA,NA,NA,NA,1,6,"EN"
"174","Pyrrhura eisenmanni","Pyrrhura","eisenmanni","Azuero Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",1.029653014,NA,NA,220,NA,NA,NA,NA,NA,1,6,"EN"
"175","Querula purpurata","Querula","purpurata","Purple-throated Fruitcrow","Passeriformes","Cotingidae",50,50,"Omnivore",0.693147181,255,300,300,NA,NA,NA,NA,NA,0.157,6.9,"LC"
"176","Ramphastos dicolorus","Ramphastos","dicolorus","Red-breasted Toucan","Piciformes","Ramphastidae",10,80,"FruiNect",0.63903186,420,480,480,NA,NA,NA,NA,NA,0.0118,11.5,"LC"
"177","Ramphastos toco","Ramphastos","toco","Toco Toucan","Piciformes","Ramphastidae",20,70,"FruiNect",0.801818553,550,610,610,20,26,26,NA,NA,0.0185,11.5,"LC"
"178","Ramphastos tucanus","Ramphastos","tucanus","White-throated Toucan","Piciformes","Ramphastidae",10,50,"FruiNect",1.497866137,530,580,580,NA,NA,NA,NA,NA,0.86,11.5,"VU"
"179","Rhytipterna simplex","Rhytipterna","simplex","Greyish Mourner","Passeriformes","Tyrannidae",80,20,"Invertebrate",0.500402424,195,205,205,NA,NA,NA,NA,NA,0.12,3.6,"LC"
"180","Saltator grossus","Saltator","grossus","Slate-coloured Grosbeak","Passeriformes","Cardinalidae",60,30,"Invertebrate",0.897945725,190,205,205,NA,NA,NA,NA,16,16,3.32,"LC"
"181","Saltator maximus","Saltator","maximus","Buff-throated Saltator","Passeriformes","Cardinalidae",60,30,"Invertebrate",0.897945725,205,210,210,NA,NA,NA,NA,NA,0.003,4.1,"LC"
"182","Schiffornis turdina","Schiffornis","turdina","Thrush-like Schiffornis","Passeriformes","Cotingidae",50,50,"Omnivore",0.693147181,155,165,165,NA,NA,NA,0.143,0.201,0.201,4.6,"LC"
"183","Schiffornis virescens","Schiffornis","virescens","Greenish Schiffornis","Passeriformes","Cotingidae",50,50,"Omnivore",0.693147181,NA,NA,155,NA,NA,3.46,NA,NA,0.0222,4.6,"LC"
"184","Seiurus aurocapilla","Seiurus","aurocapilla","Ovenbird","Passeriformes","Parulidae",70,10,"Invertebrate",0.940447989,NA,NA,150,NA,NA,11,0.0039,0.0289,0.0289,2.74,"LC"
"185","Setophaga caerulescens","Setophaga","caerulescens","Black-throated Blue Warbler","Passeriformes","Parulidae",70,10,"Invertebrate",0.940447989,NA,NA,130,NA,NA,10,0.0032,0.0998,0.0998,2.51,"LC"
"186","Setophaga castanea","Setophaga","castanea","Bay-breasted Warbler","Passeriformes","Parulidae",60,30,"Invertebrate",0.897945725,NA,NA,140,NA,NA,4.9,NA,NA,0.015,2.38,"LC"
"187","Setophaga pitiayumi","Setophaga","pitiayumi","Tropical Parula","Passeriformes","Parulidae",70,20,"Invertebrate",0.801818553,108,114,114,NA,NA,NA,NA,NA,0.0039,2,"LC"
"188","Setophaga ruticilla","Setophaga","ruticilla","American Redstart","Passeriformes","Parulidae",80,10,"Invertebrate",0.63903186,110,130,130,NA,NA,10.1,0.0039,0.0064,0.0064,2.18,"LC"
"189","Setophaga striata","Setophaga","striata","Blackpoll Warbler","Passeriformes","Parulidae",70,10,"Invertebrate",0.940447989,NA,NA,140,NA,NA,8.1,0.002,0.0185,0.0185,3.5,"NT"
"190","Setophaga tigrina","Setophaga","tigrina","Cape May Warbler","Passeriformes","Parulidae",60,20,"Invertebrate",0.950270539,NA,NA,130,NA,NA,4.25,NA,NA,0.004,1.97,"LC"
"191","Sialia mexicana","Sialia","mexicana","Western Bluebird","Passeriformes","Turdidae",70,20,"Invertebrate",0.801818553,165,190,190,NA,NA,8.7,0.0043,0.012756,0.012756,3.8,"LC"
"192","Sialia sialis","Sialia","sialis","Eastern Bluebird","Passeriformes","Turdidae",70,30,"Invertebrate",0.610864302,280,310,310,NA,NA,10.5,0.011,0.084,0.084,3.9,"LC"
"193","Tangara gyrola","Tangara","gyrola","Bay-headed Tanager","Passeriformes","Thraupidae",30,70,"FruiNect",0.610864302,NA,NA,130,NA,NA,5,NA,NA,0.103,4.9,"LC"
"194","Tangara icterocephala","Tangara","icterocephala","Silver-throated Tanager","Passeriformes","Thraupidae",20,80,"FruiNect",0.500402424,NA,NA,130,NA,NA,7.5,0.093,0.245,0.245,4.9,"LC"
"195","Tangara palmarum","Tangara","palmarum","Palm Tanager","Passeriformes","Thraupidae",10,60,"FruiNect",1.088899975,NA,NA,170,NA,NA,9.583,NA,NA,0.0024,4,"LC"
"196","Thamnophilus caerulescens","Thamnophilus","caerulescens","Variable Antshrike","Passeriformes","Thamnophilidae",80,10,"Invertebrate",0.63903186,140,160,160,4.166,6.166,6.166,0.007,0.013,0.013,4.9,"LC"
"197","Todirostrum cinereum","Todirostrum","cinereum","Common Tody-flycatcher","Passeriformes","Tyrannidae",90,10,"Invertebrate",0.325082973,88,102,102,NA,NA,NA,NA,NA,0.0037,3.6,"LC"
"198","Tolmomyias sulphurescens","Tolmomyias","sulphurescens","Yellow-olive Flycatcher","Passeriformes","Tyrannidae",90,10,"Invertebrate",0.325082973,130,155,155,NA,NA,NA,NA,NA,0.0111,3.6,"LC"
"199","Trogon citreolus","Trogon","citreolus","Citreoline Trogon","Trogoniformes","Trogonidae",50,50,"Omnivore",0.693147181,NA,NA,270,17,21,21,NA,NA,0.0345,7.3,"LC"
"200","Trogon curucui","Trogon","curucui","Blue-crowned Trogon","Trogoniformes","Trogonidae",80,20,"Invertebrate",0.500402424,NA,NA,240,17,21,21,NA,NA,0.0345,7.3,"LC"
"201","Trogon massena","Trogon","massena","Slaty-tailed Trogon","Trogoniformes","Trogonidae",20,70,"FruiNect",0.801818553,330,355,355,17,21,21,NA,NA,0.0345,7.3,"LC"
"202","Trogon melanocephalus","Trogon","melanocephalus","Black-headed Trogon","Trogoniformes","Trogonidae",50,50,"Omnivore",0.693147181,NA,NA,280,17,21,21,NA,NA,0.0345,7.3,"LC"
"203","Trogon melanurus","Trogon","melanurus","Black-tailed Trogon","Trogoniformes","Trogonidae",30,70,"FruiNect",0.610864302,280,300,300,17,21,21,NA,NA,0.0345,4.71,"LC"
"204","Trogon mesurus","Trogon","mesurus","Ecuadorian Trogon","Trogoniformes","Trogonidae",30,70,"FruiNect",0.610864302,305,320,320,17,21,21,NA,NA,0.0345,7.3,"LC"
"205","Trogon surrucura","Trogon","surrucura","Surucua Trogon","Trogoniformes","Trogonidae",80,20,"Invertebrate",0.500402424,260,280,280,NA,NA,NA,NA,NA,0.0041,7.3,"LC"
"206","Turdus leucomelas","Turdus","leucomelas","Pale-breasted Thrush","Passeriformes","Turdidae",70,30,"Invertebrate",0.610864302,230,270,270,NA,NA,NA,NA,NA,0.038,5.8,"LC"
"207","Turdus nigriceps","Turdus","nigriceps","Slaty Thrush","Passeriformes","Turdidae",40,60,"FruiNect",0.673011667,180,215,215,NA,NA,NA,NA,NA,0.0032,NA,"LC"
"208","Turdus rufiventris","Turdus","rufiventris","Rufous-bellied Thrush","Passeriformes","Turdidae",50,50,"Omnivore",0.693147181,230,250,250,NA,NA,8.4,NA,NA,0.0041,5.9,"LC"
"209","Tyrannus forficatus","Tyrannus","forficatus","Scissor-tailed Flycatcher","Passeriformes","Tyrannidae",60,20,"Invertebrate",0.950270539,NA,NA,110,NA,NA,NA,0.002,0.004,0.004,4.2,"LC"
"210","Tyrannus savana","Tyrannus","savana","Fork-tailed Flycatcher","Passeriformes","Tyrannidae",70,30,"Invertebrate",0.610864302,280,405,405,NA,NA,NA,NA,NA,0.0022,4.2,"LC"
"211","Tyrannus tyrannus","Tyrannus","tyrannus","Eastern Kingbird","Passeriformes","Tyrannidae",70,10,"Invertebrate",0.940447989,195,230,230,NA,NA,11.1,NA,NA,0.084,4.2,"LC"
"212","Veniliornis spilogaster","Veniliornis","spilogaster","White-spotted Woodpecker","Piciformes","Picidae",80,20,"Invertebrate",0.500402424,160,195,195,NA,NA,NA,NA,NA,0.0024,4.2,"LC"
"213","Vireo altiloquus","Vireo","altiloquus","Black-whiskered Vireo","Passeriformes","Vireonidae",60,20,"Invertebrate",0.950270539,150,165,165,NA,NA,NA,NA,NA,0.002,2.81,"LC"
"214","Vireo bellii","Vireo","bellii","Bell's Vireo","Passeriformes","Vireonidae",90,10,"Invertebrate",0.325082973,115,125,125,NA,NA,9.1,0.001,0.016,0.016,2.34,"LC"
"215","Vireo gilvus","Vireo","gilvus","Warbling Vireo","Passeriformes","Vireonidae",80,10,"Invertebrate",0.63903186,120,130,130,NA,NA,13,0.012,0.03,0.03,2.57,"LC"
"216","Vireo griseus","Vireo","griseus","White-eyed Vireo","Passeriformes","Vireonidae",70,10,"Invertebrate",0.801818553,107,130,130,NA,NA,10.9,0.0014,0.014,0.014,4.2,"LC"
